Title,Rating,Genres,Cast
Divine Intervention,83.0,['Comedy'],"['Adrián Uribe', 'Guillermo Villegas', 'Ana Serradilla', 'Giovanna Romo', 'Jorge Perugorría']"
Shadow Master,69.0,"['Action', 'Fantasy', 'Thriller']","['D.Y. Sao', 'Layton Matthews', 'Brian Le', 'Craig Ng', 'Anna Harr', 'Luciana Faulhaber', 'Dominique Swain', 'Pearry Reginald Teo', 'Camilo González']"
War of the Worlds: The Attack,54.0,"['Science Fiction', 'Mystery', 'Thriller']","['Sam Gittins', 'Vincent Regan', 'Lara Lemon', 'Alhaji Fofana', 'Leo Staar', 'Kathi deCouto', 'Stefan Boehm', 'Frances Mather', ""Fredi 'Kruga' Nwaka""]"
Strays,74.0,['Comedy'],"['Will Ferrell', 'Jamie Foxx', 'Will Forte', 'Isla Fisher', 'Randall Park', 'Josh Gad', 'Harvey Guillén', 'Brett Gelman', 'Rob Riggle']"
The Resurrection of Charles Manson,39.0,"['Horror', 'Thriller']","['Frank Grillo', 'Will Peltz', 'Sarah Dumont', 'Sydelle Noel', 'Jaime King', 'Katherine Hughes', 'Josh Plasse', 'Vince Hill-Bedford', 'Tobias Jelinek']"
Jericho Ridge,68.0,"['Action', 'Thriller']","['Nikki Amuka-Bird', 'Simon Kunz', 'Michael Socha', 'Olivia Chenery', 'Aidan Kelly', 'Philipp Christopher', 'Zack Morris', 'Zachary Hart']"
Sisu,75.0,"['Action', 'War']","['Jorma Tommila', 'Aksel Hennie', 'Jack Doolan', 'Mimosa Willamo', 'Onni Tommila', 'Tatu Sinisalo', 'Arttu Kapulainen', 'Elina Saarela', 'Ilkka Koivula']"
Shazam! Fury of the Gods,67.0,"['Comedy', 'Action', 'Fantasy']","['Zachary Levi', 'Asher Angel', 'Jack Dylan Grazer', 'Rachel Zegler', 'Adam Brody', 'Ross Butler', 'D.J. Cotrona', 'Grace Caroline Currey', 'Meagan Good']"
Ant-Man and the Wasp: Quantumania,65.0,"['Action', 'Adventure', 'Science Fiction']","['Paul Rudd', 'Evangeline Lilly', 'Jonathan Majors', 'Kathryn Newton', 'Michelle Pfeiffer', 'Michael Douglas', 'Corey Stoll', 'Bill Murray', 'William Jackson Harper']"
Mr. Car and the Knights Templar,63.0,['Adventure'],"['Mateusz Janicki', 'Sandra Drzymalska', 'Olgierd Blecharz', 'Piotr Sega', 'Kalina Kowalczuk', 'Jacek Beler', 'Maria Dębska', 'Anna Dymna', 'Przemysław Bluszcz']"
The Conjuring: The Devil Made Me Do It,75.0,"['Horror', 'Mystery', 'Thriller']","['Patrick Wilson', 'Vera Farmiga', ""Ruairí O'Connor"", 'Sarah Catherine Hook', 'Julian Hilliard', 'John Noble', 'Eugenie Bondurant', 'Shannon Kook', 'Ronnie Gene Blevins']"
Timescape,77.0,"['Science Fiction', 'Family', 'Adventure']","['Lola Rossignol-Arts', 'Sofian Oleniuk', 'Patricia Summersett', 'Michel Perron', 'Eric Davis', 'Melissa Carter', 'Nathaniel Amranian']"
Mortal Kombat Legends: Scorpion's Revenge,82.0,"['Animation', 'Action', 'Fantasy']","['Patrick Seitz', 'Jordan Rodrigues', 'Jennifer Carpenter', 'Joel McHale', 'Ike Amadi', 'Steve Blum', 'Artt Butler', 'Darin De Paul', 'Robin Atkin Downes']"
Top Gun: Maverick,83.0,"['Action', 'Drama']","['Tom Cruise', 'Miles Teller', 'Jennifer Connelly', 'Jon Hamm', 'Glen Powell', 'Ed Harris', 'Val Kilmer', 'Lewis Pullman', 'Charles Parnell']"
Creed III,72.0,"['Drama', 'Action']","['Michael B. Jordan', 'Tessa Thompson', 'Jonathan Majors', 'Phylicia Rashād', 'Mila Davis-Kent', 'Wood Harris', 'José Benavidez Jr.', 'Florian Munteanu', 'Selenis Leyva']"
Evil Dead Rise,70,"['Thriller', 'Horror']","['Lily Sullivan', 'Alyssa Sutherland', 'Morgan Davies', 'Gabrielle Echols', 'Nell Fisher', 'Anna-Maree Thomas', 'Mirabai Pease', 'Richard Crouchley', 'Jayden Daniels']"
Los Habitantes,70,"['Thriller', 'Horror']","['Angélica Aragón', 'Jorge Luis Moreno', 'Estefanía Hinojosa', 'Paulina Cantu Felix', 'Gari Garibaldi', 'Jessica Rosanna Mendiolea Dávila', 'Brenda Caballero', 'Sergio Zurita', 'Isabella Dávila']"
Fresh,70,"['Horror', 'Thriller', 'Comedy']","['Daisy Edgar-Jones', 'Sebastian Stan', 'Jojo T. Gibbs', 'Andrea Bang', 'Dayo Okeniyi', 'Charlotte Le Bon', 'Brett Dier', 'Alina Maris', 'William Belleau']"
Spider-Man: No Way Home,80,"['Action', 'Adventure', 'Science Fiction']","['Tom Holland', 'Zendaya', 'Benedict Cumberbatch', 'Jacob Batalon', 'Jon Favreau', 'Jamie Foxx', 'Willem Dafoe', 'Alfred Molina', 'Benedict Wong']"
Undryable Daughter-in-Law,50,['Drama'],"['Ah Reum', 'Seung Ha', 'Hae Il']"
